,Request #,Date / Time Opened,Contact Type,Preferred Language,Closed When Created,Address,City,Council District,ZIP,Latitude,Longitude,Mapped Location
3807,366333,05/13/2020 01:19:26 PM,,,False,522 Bell Rd,ANTIOCH,32.0,37013.0,36.07012,-86.6363,"(36.07012, -86.6363)"
3808,376536,05/26/2020 05:25:29 PM,,,False,327 Cartwright St,GOODLETTSVILLE,10.0,37072.0,36.32408,-86.70794000000001,"(36.32408, -86.70794)"
3809,366465,05/13/2020 02:57:56 PM,,,False,2517 Lebanon Pike,NASHVILLE,15.0,37214.0,36.1692174,-86.67790459999998,"(36.1692174, -86.67790459999999)"
3810,365024,05/12/2020 02:54:51 PM,,,False,7604 Hwy 70 S,NASHVILLE,22.0,37221.0,36.078431200000004,-86.9455054,"(36.0784312, -86.9455054)"
3811,364877,05/12/2020 01:35:33 PM,,,False,107 Northcreek Blvd,GOODLETTSVILLE,10.0,37072.0,36.3259336,-86.700446,"(36.3259336, -86.700446)"
3812,366025,05/12/2020 08:09:48 PM,,,False,4615 Lebanon Rd,HERMITAGE,11.0,37076.0,36.214867361628926,-86.59588919999999,"(36.21486736162893, -86.59588919999999)"
3813,366035,05/12/2020 08:14:21 PM,,,False,4342 Lebanon Pike,HERMITAGE,11.0,37076.0,36.20685751162558,-86.61247739999997,"(36.20685751162558, -86.61247739999999)"
3814,376889,05/26/2020 08:57:31 PM,,,False,210 Anne Dallas Dudley Blvd,NASHVILLE,19.0,37219.0,36.163000000000004,-86.78200000000001,"(36.163, -86.782)"
3815,366174,05/12/2020 09:46:11 PM,,,False,6688 Nolensville Pike,BRENTWOOD,31.0,37027.0,36.00049,-86.69228000000001,"(36.00049, -86.69228)"
3816,366723,05/13/2020 05:22:39 PM,,,False,1797 Gallatin Pike N,MADISON,10.0,37115.0,36.296209999999995,-86.6997,"(36.29621, -86.6997)"
3817,372097,05/19/2020 07:27:35 PM,,,False,2710 Old Lebanon Rd,NASHVILLE,15.0,37214.0,36.17049360000001,-86.66743679999998,"(36.17049360000001, -86.66743679999999)"
3818,375711,05/25/2020 02:11:38 PM,,,False,Broadway,NASHVILLE,19.0,37203.0,36.1565833,-86.7874528,"(36.1565833, -86.7874528)"
3819,366004,05/12/2020 08:00:48 PM,,,False,1300 Antioch Pike,NASHVILLE,28.0,37211.0,36.086909999999996,-86.69093000000001,"(36.08691, -86.69093)"
3820,366016,05/12/2020 08:05:47 PM,,,False,5008 Old Hickory Blvd,HERMITAGE,11.0,37076.0,36.193802000000005,-86.616922,"(36.193802, -86.616922)"
3821,367173,05/14/2020 01:10:18 AM,,,False,209 S Royal Oaks Blvd,,,,35.91428736150146,-86.83287479325409,"(35.91428736150145, -86.8328747932541)"
3822,366451,05/13/2020 02:51:07 PM,,,False,Vantage Way,NASHVILLE,2.0,37228.0,36.19167,-86.79418000000001,"(36.19167, -86.79418)"
3823,366859,05/13/2020 06:51:52 PM,,,False,711 Gallatin Ave,NASHVILLE,6.0,37206.0,36.1843814,-86.7470589,"(36.1843814, -86.7470589)"
3824,376426,05/26/2020 04:34:49 PM,,,False,2228 Gallatin Pike N,MADISON,10.0,37115.0,36.3075434,-86.68561919999998,"(36.3075434, -86.68561919999999)"
3825,367111,05/13/2020 09:51:39 PM,,,False,2001 Riverside Dr,OLD HICKORY,11.0,37138.0,36.25179260015703,-86.63905469563142,"(36.251792600157025, -86.6390546956314)"
